Current (mA) ,Voltage White up (mV),Voltage green up (mV),delta V (mV),delta V mean,,Deviation
30.24,0.10155,0.10218,0.00063,0.0005733333333,,0.00005666666667
30.24,0.1015,0.102,0.0005,0.0005733333333,,-0.00007333333333
30.24,0.10148,0.10207,0.00059,0.0005733333333,,0.00001666666667
60.01,0.20069,0.20213,0.00144,0.001456666667,,-0.00001666666667
60.01,0.20055,0.20203,0.00148,0.001456666667,,0.00002333333333
60.01,0.20059,0.20204,0.00145,0.001456666667,,-0.000006666666667
90.28,0.30119,0.30334,0.00215,0.002186666667,,-0.00003666666667
90.28,0.30105,0.30338,0.00233,0.002186666667,,0.0001433333333
90.28,0.30121,0.30329,0.00208,0.002186666667,,-0.0001066666667
120.91,0.403,0.40624,0.00324,0.003306666667,,-0.00006666666667
120.91,0.40275,0.40623,0.00348,0.003306666667,,0.0001733333333
120.91,0.40298,0.40618,0.0032,0.003306666667,,-0.0001066666667
150.23,0.50039,0.50443,0.00404,0.00416,,-0.00012
150.23,0.50022,0.50446,0.00424,0.00416,,0.00008
150.23,0.50046,0.50466,0.0042,0.00416,,0.00004
180.05,0.59954,0.60478,0.00524,0.005216666667,,0.00002333333333
180.05,0.59954,0.60464,0.0051,0.005216666667,,-0.0001166666667
180.05,0.5995,0.60481,0.00531,0.005216666667,,0.00005666666667