Current (mA),Rms reading 1 ,Rms reading 2,Rms reading 3,Rms reading 4,Rms reading 5,Average Rms ,Std Rms
0.0098,0.004095,0.004072,0.004102,0.004088,0.004163,0.004104,0.00003480660857
0.0265,0.005728,0.005654,0.005712,0.005625,0.005766,0.005697,0.00005696490147
0.0393,0.006809,0.006934,0.006978,0.00682,0.006809,0.00687,0.00008015921656
0.0565,0.0085,0.008393,0.008322,0.008403,0.008301,0.0083838,0.00007847101376
0.0745,0.009967,0.009926,0.01,0.009881,0.009642,0.0098832,0.000142020069
0.0857,0.01081,0.01065,0.01086,0.01084,0.01075,0.010782,0.00008467585252
0.1074,0.01245,0.01237,0.01246,0.01244,0.01279,0.012502,0.0001648332491
0.1212,0.0135,0.0137,0.01376,0.01376,0.0137,0.013684,0.0001071447619
0.1378,0.01471,0.01494,0.01504,0.01506,0.01496,0.014942,0.0001393556601
0.1561,0.01634,0.01622,0.01614,0.01631,0.01629,0.01626,0.00008031189202
0,0.002895,0.002995,0.002983,0.003012,0.002962,0.0029694,0.00004540154182
,,,,,  ,,